"id" "session" "task_type" "temp_ori" "trial" "X1" "E1" "X2" "E2" "EffortfulOptionChosen" "rt"
"214" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2.5 0 15 45 0 2.21156111718619
"215" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2 0 15 45 1 1.95074336840253
"216" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2.25 0 15 45 1 1.93960155055584
"217" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2.5 0 15 45 1 1.00638123708541
"218" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 3 0 15 45 1 1.31702289383111
"219" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 4 0 15 45 1 0.882507237127811
"220" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 6 0 15 45 1 1.10978259382137
"221" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 10 0 15 45 0 2.20613715896525
"222" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 8 0 15 45 0 1.39223646218625
"223" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 6 0 15 45 0 0.711829827042948
"224" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 4 0 15 45 0 1.27931954204905
"225" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2 0 15 45 1 2.32225371684172
"226" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 4 0 15 45 1 0.863135557902751
"227" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 6 0 15 45 1 1.45814626275615
"228" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 10 0 15 45 0 1.24335378513933
"229" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 8 0 15 45 0 0.635121871116553
"230" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 6 0 15 45 0 0.800152331120444
"231" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 4 0 15 45 0 1.0257544713445
"232" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2 0 15 45 1 1.60667377006166
"233" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 4 0 15 45 0 1.12755663122425
"234" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 3 0 15 45 0 0.770587715729562
"235" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2 0 15 45 1 1.57948306941307
"236" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2.5 0 15 45 0 1.90167707295313
"237" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2.25 0 15 45 1 1.06547221403253
"238" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2.375 0 15 45 1 1.353294370404
"239" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2.5 0 15 45 0 2.62245829710128
"240" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "4" 7.5 0 15 175 0 2.36352649342371
"241" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "4" 6.5 0 15 175 0 0.801156572008949
"242" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "4" 5.5 0 15 175 1 1.16224321725349
"243" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "4" 6 0 15 175 0 1.92405027859968
"244" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "4" 5.75 0 15 175 0 1.03092495904002
"245" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "4" 5.5 0 15 175 0 1.76608184952011
"246" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "4" 5 0 15 175 0 0.804627407659154
"247" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "4" 4 0 15 175 0 1.11843511341203
"248" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "4" 2 0 15 175 0 1.12721079168659
"249" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "5" 7.5 0 15 75 0 5.52986100485032
"250" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "5" 6.5 0 15 75 0 0.898059753110374
"251" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "5" 5.5 0 15 75 0 1.14453822335508
"252" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "5" 4.5 0 15 75 0 1.88148962294781
"253" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "5" 2.5 0 15 75 0 1.2304398506667
"254" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "5" 0.5 0 15 75 0 4.47289451520919
"255" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "6" 7.5 0 15 270 0 2.66214245105721
"256" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "6" 6.5 0 15 270 0 1.28478641920446
"257" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "6" 5.5 0 15 270 0 1.40855498786459
"258" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "6" 4.5 0 15 270 0 0.624935777100291
"259" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "6" 2.5 0 15 270 0 1.2700030229862
